source,target,score.1,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
COTTUS,ASPER,11.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,COGNATUS,12.5,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,GOBIO,12.65,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,POECILOPUS,11.2,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COUESIUS,PLUMBEUS,13.97,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
DICENTRARCHUS,LABRAX,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ESOX,LUCIUS,11.755,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,HETEROCLITUS,13.8,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GADUS,MORHUA,13.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,OLIDUS,13.38,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GAMBUSIA,AFFINIS,13.47,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GASTEROSTEUS,ACULEATUS,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIO,GOBIO,12.68,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GYMNOCEPHALUS,CERNUUS,13.8,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTALURUS,PUNCTATUS,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,FLUVIATILIS,12.65,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,PLANERI,12.58,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,CYANELLUS,11.44,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,GIBBOSUS,13.05,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,MACROCHIRUS,13.25,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCISCUS,CEPHALUS,13.36,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCISCUS,LEUCISCUS,12.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LOTA,LOTA,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LUTRA,LUTRA,13.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACQUARIA,AUSTRALASICA,13.84,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MELANOGRAMMUS,AEGLEFINUS,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MERGUS,MERGANSER,13.97,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MICROPTERUS,DOLOMIEU,13.69,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MORONE,SAXATILIS,13.75,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MYOXOCEPHALUS,SCORPIUS,13.37,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MYOXOCEPHALUS,THOMPSONII,13.11,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
NANNOPERCA,AUSTRALIS,13.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
NEOGOBIUS,MELANOSTOMUS,13.94,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,GORBUSCHA,10.23,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,KETA,10.35,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,KISUTCH,11.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,MYKISS,13.36,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,NERKA,11.9,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,TSHAWYTSCHA,11.71,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
OSMERUS,EPERLANUS,13.31,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
OSMERUS,MORDAX,13.3,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PARALICHTHYS,OLIVACEUS,13.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PERCA,FLAVESCENS,12.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PERCA,FLUVIATILIS,10.73,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PETROMYZON,MARINUS,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PHOXINUS,PHOXINUS,13.89,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PIMEPHALES,PROMELAS,13.61,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PLEURONECTES,PLATESSA,13.81,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
POMOXIS,NIGROMACULATUS,13.57,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PUNGITIUS,PUNGITIUS,13.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
RUTILUS,RUTILUS,10.455,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALMO,SALAR,13.29,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALMO,TRUTTA,13.25,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,ALPINUS,13.47,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,CONFLUENTUS,9.4,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,FONTINALIS,12.88,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,MALMA,10.76,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,NAMAYCUSH,12.24,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SANDER,LUCIOPERCA,13.32,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SANDER,VITREUS,12.97,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SCARDINIUS,ERYTHROPHTHALMUS,13.94,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
SILURUS,GLANIS,13.92,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
THYMALLUS,ARCTICUS,13.24,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
THYMALLUS,THYMALLUS,10.52,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
TINCA,TINCA,13.92,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
