TAXRANK_target,target,source,TAXRANK_source,relations,score.1,data_source_y
,INDET,NEMATA,,,9.24,WEB corpus
,LUTEA,NUPHAR,,,13.46,WEB corpus
,INDET,OLIGOCHAETA,,,9.2,WEB corpus
,MYKISS,ONCHORHYNCHUS,,,9.64,WEB corpus
,CLARKI,ONCORHYNCHUS,,,9.48,WEB corpus
,RHODURUS,ONCORHYNCHUS,,,7.15,WEB corpus
,MYKISS,ONCORHYNCUS,,,7.83,WEB corpus
,LIMOSUS,ORCONECTES,,,12.03,WEB corpus
,PROPINQUUS,ORCONECTES,,,12.64,WEB corpus
,RUSTICUS,ORCONECTES,,,12.41,WEB corpus
,AUREA,OREOCHROMIS,,,11.34,WEB corpus
,INDET,ORIBATIDA,,,9.24,WEB corpus
,INDET,ORTHOCLADIINAE,,,10.21,WEB corpus
,INDET,OSTRACODA,,,9.23,WEB corpus
,INDET,OXIDAE,,,9.24,WEB corpus
,LENIUSCULUS,PACIFASTACUS,,,13.91,WEB corpus
,MINIBICORNIS,PARVICAPSULA,,,13.99,WEB corpus
,CORVENTUM,PEARSONELLUM,,,13.99,WEB corpus
,INDET,PENTANEURINI,,,9.24,WEB corpus
,FLAVECENS,PERCA,,,8.38,WEB corpus
,FLUVIATILIS,PETROMYZON,,,7.34,WEB corpus
,ONCORHYNCHI,PHILONEMA,,,13.99,WEB corpus
,AUSTRALIS,PHRAGMITES,,,11.64,WEB corpus
,CONOSTOMUM,PHYLLODISTOMUM,,,13.34,WEB corpus
,CONICA,PIRENELLA,,,13.86,WEB corpus
,GEOMETRA,PISCICOLA,,,13.99,WEB corpus
,INDET,PISIDIIDAE,,,9.24,WEB corpus
,INDET,PLANORBIDAE,,,9.23,WEB corpus
,INDET,PLATYHELMINTHES,,,9.21,WEB corpus
,INDET,PLECOPTERA,,,9.24,WEB corpus
,AMERICANUS,PLEURONECTES,,,11.61,WEB corpus
,AMURENSIS,POTAMOCORBULA,,,13.51,WEB corpus
,PECTINATUS,POTAMOGETON,,,13.01,WEB corpus
,ANTIPODARUM,POTAMOPYRGUS,,,13.99,WEB corpus
,CLARKII,PROCAMBARUS,,,12.68,WEB corpus
,COULTERI,PROSOPIUM,,,11.96,WEB corpus
,MINUTUS,PSEUDOCALANUS,,,12.46,WEB corpus
,PUNGITIUS,PYGOSTEUS,,,11.85,WEB corpus
,FLUITANTIS,RANUNCULION,,,13.99,WEB corpus
,ORYZAE,RHIZOPUS,,,13.83,WEB corpus
,PONTICUM,RHODODENDRON,,,13.99,WEB corpus
,CEREVISIAE,SACCHAROMYCES,,,13.99,WEB corpus
,TRUTTA,SALAR,,,8.58,WEB corpus
,EDWARDSII,SALMINCOLA,,,13.41,WEB corpus
,CLARKI,SALMO,,,7.01,WEB corpus
,FARIO,SALMO,,,7.04,WEB corpus
,GAIRDNERI,SALMO,,,11.45,WEB corpus
,IRIDEUS,SALMO,,,6.55,WEB corpus
,SALVELINUS,SALMO,,,5.395,WEB corpus
,WILLUGHBII,SALVELINUS,,,7.71,WEB corpus
,SOLIDUS,SCHISTOCEPHALUS,,,13.99,WEB corpus
,MAXIMUS,SCOPHTHALMUS,,,13.91,WEB corpus
,TRUTTAE,SPHAEROSPORA,,,12.94,WEB corpus
,INERMIS,SPINITECTUS,,,13.47,WEB corpus
,INDET,STAGNALIS,,,10.21,WEB corpus
,LUCIOPERCA,STIZOSTEDION,,,12.69,WEB corpus
,VITREUM,STIZOSTEDION,,,13.21,WEB corpus
,BENTINCKI,STRANGOMERA,,,13.9,WEB corpus
,INDET,TABANIDAE,,,9.23,WEB corpus
,INDET,TAENIOPTERYGIDAE,,,9.24,WEB corpus
,INDET,TANYPODINAE,,,9.24,WEB corpus
,INDET,TANYTARSINI,,,9.24,WEB corpus
,SALMONIDAE,THYMALLUS,,,9.75,WEB corpus
,INDET,TIPULIDAE,,,9.23,WEB corpus
,MONOGENEA,TREMATODA,,,13.0,WEB corpus
,INDET,TRICARINATA,,,9.24,WEB corpus
,INDET,TRICHOPTERA,,,9.18,WEB corpus
,MYRIOPHYLLUM,TRIGLOCHIN,,,12.46,WEB corpus
,PROCERA,TRIGLOCHIN,,,13.54,WEB corpus
,IRIDEA,TROTA,,,13.99,WEB corpus
,TUBIFEX,TUBIFEX,,,13.41,WEB corpus
,INDET,TUBIFICINAE,,,9.24,WEB corpus
,LATIFOLIA,TYPHA,,,13.51,WEB corpus
,INDET,UDEKEMIANUS,,,9.24,WEB corpus
,INDET,UENOIDAE,,,9.24,WEB corpus
,INDET,VALVATA,,,9.22,WEB corpus
,GEORGIANUS,VIVIPARUS,,,13.99,WEB corpus
,MARINA,ZOSTERA,,,13.63,WEB corpus
,ATLANTIC,[NUMBER],,,11.34,WEB corpus
,GYRODACTYLIDAE,[NUMBER],,,12.45,WEB corpus
,SALMO,[NUMBER],,,11.35,WEB corpus
,SALMON,[NUMBER],,,11.3,WEB corpus
