Index,Filter,VTO_total,JEFF_total_long_list,VTO_not_in_JEFF,JEFF_not_in_VTO,VTO_in_JEFF,%_only_in_VTO,%_only_in_JEFF,%_common_vs_VTO,%_common_JEFF
33,JEFF_200304_test_sal_over5.5.csv,107028,1702,106355,1039,673,99.37119259,61.04582844,0.628807415,39.54171563
34,JEFF_200304_test_sal_over6.0.csv,107028,1690,106356,1028,672,99.37212692,60.82840237,0.62787308,39.76331361
35,JEFF_200304_test_sal_over6.5.csv,107028,1685,106357,1024,671,99.37306125,60.77151335,0.626938745,39.82195846
36,JEFF_200304_test_sal_over7.0.csv,107028,1665,106358,1005,670,99.37399559,60.36036036,0.62600441,40.24024024
37,JEFF_200304_test_sal_over7.5.csv,107028,1644,106362,988,666,99.37773293,60.0973236,0.62226707,40.51094891
38,JEFF_200304_test_sal_over8.0.csv,107028,1612,106367,961,661,99.3824046,59.61538462,0.617595396,41.00496278
39,JEFF_200304_test_sal_over8.5.csv,107028,1572,106383,937,645,99.39735396,59.60559796,0.602646037,41.03053435
40,JEFF_200304_test_sal_over9.0.csv,107028,1533,106393,908,635,99.40669731,59.23026745,0.593302687,41.42204827
41,JEFF_200304_test_sal_over9.5.csv,107028,1461,106416,859,612,99.42818702,58.79534565,0.571812984,41.88911704
42,JEFF_200304_test_sal_over10.0.csv,107028,1402,106432,816,596,99.44313638,58.20256776,0.556863624,42.510699
43,JEFF_200304_test_sal_over10.5.csv,107028,1327,106459,768,569,99.46836342,57.8749058,0.531636581,42.8786737
44,JEFF_200304_test_sal_over11.0.csv,107028,1251,106486,717,542,99.49359046,57.31414868,0.506409538,43.32533973
45,JEFF_200304_test_sal_over11.5.csv,107028,1124,106529,632,499,99.53376686,56.22775801,0.466233135,44.39501779
46,JEFF_200304_test_sal_over12.0.csv,107028,985,106566,530,462,99.56833726,53.8071066,0.431662742,46.9035533
47,JEFF_200304_test_sal_over12.5.csv,107028,856,106610,444,418,99.60944799,51.86915888,0.390552005,48.8317757
48,JEFF_200304_test_sal_over13.0.csv,107028,725,106670,372,358,99.66550809,51.31034483,0.334491909,49.37931034
49,JEFF_200304_test_sal_over13.5.csv,107028,424,106794,194,234,99.78136562,45.75471698,0.218634376,55.18867925
